variant_id,scored_interval,gene_id,gene_name,gene_type,gene_strand,junction_Start,junction_End,output_type,variant_scorer,track_name,track_strand,Assay title,ontology_curie,biosample_name,biosample_type,transcription_factor,histone_mark,gtex_tissue,raw_score,quantile_score
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000084 ATAC-seq,.,ATAC-seq,CL:0000084,T-cell,primary_cell,,,,0.01193738,0.37327558
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000100 ATAC-seq,.,ATAC-seq,CL:0000100,motor neuron,in_vitro_differentiated_cells,,,,0.039740086,0.64861906
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000236 ATAC-seq,.,ATAC-seq,CL:0000236,B cell,primary_cell,,,,0.0013418198,1.1377566e-12
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000623 ATAC-seq,.,ATAC-seq,CL:0000623,natural killer cell,primary_cell,,,,0.037478447,0.8566166
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000624 ATAC-seq,.,ATAC-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,,,,0.025893688,0.68693405
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000625 ATAC-seq,.,ATAC-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,,,,0.037986517,0.8072176
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000787 ATAC-seq,.,ATAC-seq,CL:0000787,memory B cell,primary_cell,,,,-0.0016255379,-0.12621911
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000788 ATAC-seq,.,ATAC-seq,CL:0000788,naive B cell,primary_cell,,,,-0.017969131,-0.5993673
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000792 ATAC-seq,.,ATAC-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,,,,0.01082468,0.3225975
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000895 ATAC-seq,.,ATAC-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,,,,0.020106792,0.5993673
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000899 ATAC-seq,.,ATAC-seq,CL:0000899,T-helper 17 cell,primary_cell,,,,0.01397419,0.44984943
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000900 ATAC-seq,.,ATAC-seq,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",primary_cell,,,,0.02464509,0.61394674
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000907 ATAC-seq,.,ATAC-seq,CL:0000907,"central memory CD8-positive, alpha-beta T cell",primary_cell,,,,0.047053576,0.8655608
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:0000913 ATAC-seq,.,ATAC-seq,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",primary_cell,,,,0.06453729,0.8986329
chr2:25234373:C>T,chr2:25168837-25299909:.,,,,,,,ATAC,"CenterMaskScorer(requested_output=ATAC, width=501, aggregation_type=DIFF_LOG2_SUM)",CL:1001606 ATAC-seq,.,ATAC-seq,CL:1001606,foreskin keratinocyte,primary_cell,,,,-0.019373655,-0.6682194
