variant_id,scored_interval,gene_id,gene_name,gene_type,gene_strand,junction_Start,junction_End,output_type,variant_scorer,track_name,track_strand,Assay title,ontology_curie,biosample_name,biosample_type,gtex_tissue,raw_score,quantile_score
chr2:25234373:C>T,chr2:25168837-25299909:.,ENSG00000115138,POMC,protein_coding,-,,,RNA_SEQ,GeneMaskLFCScorer(requested_output=RNA_SEQ),CL:0000047 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,,4.196167e-05,0.16011412
chr2:25234373:C>T,chr2:25168837-25299909:.,ENSG00000115138,POMC,protein_coding,-,,,RNA_SEQ,GeneMaskLFCScorer(requested_output=RNA_SEQ),CL:0000062 total RNA-seq,-,total RNA-seq,CL:0000062,osteoblast,primary_cell,,1.4305115e-06,0.034594152
chr2:25234373:C>T,chr2:25168837-25299909:.,ENSG00000115138,POMC,protein_coding,-,,,RNA_SEQ,GeneMaskLFCScorer(requested_output=RNA_SEQ),CL:0000084 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0000084,T-cell,primary_cell,,-1.5258789e-05,-0.092026785
chr2:25234373:C>T,chr2:25168837-25299909:.,ENSG00000115138,POMC,protein_coding,-,,,RNA_SEQ,GeneMaskLFCScorer(requested_output=RNA_SEQ),CL:0000084 total RNA-seq,-,total RNA-seq,CL:0000084,T-cell,primary_cell,,-4.7683716e-06,-0.046111226
chr2:25234373:C>T,chr2:25168837-25299909:.,ENSG00000115138,POMC,protein_coding,-,,,RNA_SEQ,GeneMaskLFCScorer(requested_output=RNA_SEQ),CL:0000115 total RNA-seq,-,total RNA-seq,CL:0000115,endothelial cell,in_vitro_differentiated_cells,,5.6266785e-05,0.16011412
chr2:25234373:C>T,chr2:25168837-25299909:.,ENSG00000115138,POMC,protein_coding,-,,,RNA_SEQ,GeneMaskLFCScorer(requested_output=RNA_SEQ),CL:0000127 total RNA-seq,-,total RNA-seq,CL:0000127,astrocyte,primary_cell,,-4.7683716e-07,-0.046111226
chr2:25234373:C>T,chr2:25168837-25299909:.,ENSG00000115138,POMC,protein_coding,-,,,RNA_SEQ,GeneMaskLFCScorer(requested_output=RNA_SEQ),CL:0000134 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0000134,mesenchymal stem cell,in_vitro_differentiated_cells,,0.0,-0.023067882
chr2:25234373:C>T,chr2:25168837-25299909:.,ENSG00000115138,POMC,protein_coding,-,,,RNA_SEQ,GeneMaskLFCScorer(requested_output=RNA_SEQ),CL:0000137 total RNA-seq,-,total RNA-seq,CL:0000137,osteocyte,in_vitro_differentiated_cells,,4.7683716e-07,0.034594152
chr2:25234373:C>T,chr2:25168837-25299909:.,ENSG00000115138,POMC,protein_coding,-,,,RNA_SEQ,GeneMaskLFCScorer(requested_output=RNA_SEQ),CL:0000138 total RNA-seq,-,total RNA-seq,CL:0000138,chondrocyte,in_vitro_differentiated_cells,,1.4305115e-06,0.057616055
chr2:25234373:C>T,chr2:25168837-25299909:.,ENSG00000115138,POMC,protein_coding,-,,,RNA_SEQ,GeneMaskLFCScorer(requested_output=RNA_SEQ),CL:0000169 total RNA-seq,-,total RNA-seq,CL:0000169,type B pancreatic cell,in_vitro_differentiated_cells,,-4.053116e-05,-0.1375543
